Tenant Name,City,Property Type,BHK,Size (Sq.Ft),Furnishing,Rent (₹/month),Property Age (yrs),Contact No.,Email ID,Availability Date
Kismat Kata,Indore,Villa,2,1562,Semi-Furnished,36563,15,9009673275,kismatkata@gmail.com,15-11-25
Alia Talwar,Jaipur,Studio,4,1415,Unfurnished,38650,0,9986663466,aliatalwar@gmail.com,20-12-25
Darshit Manne,Nagpur,Independent,4,1916,Unfurnished,48470,5,9420955677,darshitmanne@gmail.com,31-10-25
Myra Amble,Indore,Apartment,1,826,Furnished,26801,1,9923497602,myraamble@gmail.com,16-11-25
Faiyaz Sanghvi,Indore,Villa,3,1835,Furnished,28896,17,9084966440,faiyazsanghvi@gmail.com,29-11-25
Tara Varghese,Indore,Villa,4,1536,Semi-Furnished,21331,6,9486022154,taravarghese@gmail.com,28-12-25
Jivika Sawhney,Pune,Villa,3,1778,Furnished,36253,13,9603396902,jivikasawhney@gmail.com,28-12-25
Prerak Badal,Jaipur,Studio,3,2393,Furnished,82855,8,9386925429,prerakbadal@gmail.com,11-10-25
Kashvi Deol,Bangalore,Studio,5,2275,Unfurnished,57064,15,9938140305,kashvideol@gmail.com,10-11-25
Arnav Sachdeva,Indore,Studio,2,2464,Unfurnished,77259,8,9107451396,arnavsachdeva@gmail.com,22-10-25
Manikya Khurana,Nagpur,Studio,2,2187,Semi-Furnished,67370,9,9821886406,manikyakhurana@gmail.com,30-11-25
Shray Bhatnagar,Hyderabad,Independent,3,1250,Unfurnished,54375,20,9337383266,shraybhatnagar@gmail.com,25-11-25
Hiran Salvi,Chennai,Studio,4,1043,Semi-Furnished,48645,12,9018567088,hiransalvi@gmail.com,26-12-25
Romil Chahal,Pune,Studio,1,1951,Unfurnished,87586,20,9332573948,romilchahal@gmail.com,13-10-25
Ishaan Kota,Hyderabad,Studio,4,1943,Furnished,64760,18,9781223352,ishaankota@gmail.com,17-11-25
Sana Varkey,Kolkata,Apartment,3,413,Furnished,10043,8,9554236317,sanavarkey@gmail.com,21-11-25
Reyansh Kala,Jaipur,Independent,4,547,Unfurnished,10101,11,9183158947,reyanshkala@gmail.com,27-11-25
Veer Gara,Hyderabad,Villa,4,769,Unfurnished,16828,12,9039036625,veergara@gmail.com,07-10-25
Jivin Dhar,Delhi,Villa,5,1105,Semi-Furnished,38223,1,9426645572,jivindhar@gmail.com,13-11-25
Abram Amble,Chennai,Apartment,5,2267,Furnished,60048,5,9178137764,abramamble@gmail.com,11-10-25
Navya Kapadia,Hyderabad,Villa,2,1080,Semi-Furnished,27216,20,9588203421,navyakapadia@gmail.com,02-12-25
Diya Lad,Nagpur,Villa,1,1374,Semi-Furnished,18748,12,9957752388,diyalad@gmail.com,17-11-25
Yashvi Bose,Bangalore,Independent,1,2452,Furnished,71779,2,9784670609,yashvibose@gmail.com,07-11-25
Kiaan Kothari,Jaipur,Studio,5,1625,Furnished,58157,1,9322220018,kiaankothari@gmail.com,22-12-25
Zain Swamy,Kolkata,Studio,3,2091,Unfurnished,91090,16,9710446792,zainswamy@gmail.com,21-12-25
Ela Sekhon,Chennai,Independent,3,1366,Unfurnished,58431,18,9258993457,elasekhon@gmail.com,05-12-25
Nehmat Khurana,Hyderabad,Studio,2,739,Semi-Furnished,13114,20,9307153923,nehmatkhurana@gmail.com,31-12-25
Drishya Kulkarni,Hyderabad,Villa,1,1160,Unfurnished,28176,20,9135479391,drishyakulkarni@gmail.com,09-12-25
Rania Mall,Jaipur,Apartment,1,1280,Semi-Furnished,38625,4,9659542360,raniamall@gmail.com,11-12-25
Alisha Sarraf,Chennai,Studio,5,1337,Unfurnished,25707,15,9982647742,alishasarraf@gmail.com,13-11-25
Seher Aggarwal,Bangalore,Villa,1,1262,Furnished,72733,2,9932577741,seheraggarwal@gmail.com,08-12-25
Suhana Brahmbhatt,Jaipur,Studio,5,648,Furnished,20632,16,9506087932,suhanabrahmbhatt@gmail.com,23-11-25
Samarth Chowdhury,Delhi,Studio,1,2264,Semi-Furnished,100314,10,9930716637,samarthchowdhury@gmail.com,06-10-25
Manjari Kapadia,Pune,Studio,4,2227,Unfurnished,96852,4,9770339485,manjarikapadia@gmail.com,07-11-25
Emir Goel,Pune,Independent,3,472,Semi-Furnished,15607,14,9965179730,emirgoel@gmail.com,07-11-25
Piya Hans,Kolkata,Villa,5,887,Unfurnished,22190,13,9809687024,piyahans@gmail.com,18-11-25
Nishith Lad,Delhi,Independent,5,1737,Unfurnished,40993,1,9354702518,nishithlad@gmail.com,14-12-25
Ayesha Mahal,Pune,Apartment,1,930,Unfurnished,30035,9,9410688958,ayeshamahal@gmail.com,12-12-25
Divyansh Gill,Nagpur,Independent,2,2437,Semi-Furnished,40259,6,9783275833,divyanshgill@gmail.com,08-11-25
Priyansh Raj,Pune,Studio,4,1200,Semi-Furnished,22160,4,9331293744,priyanshraj@gmail.com,05-11-25
Anya Kuruvilla,Indore,Apartment,2,1363,Unfurnished,20856,12,9543384633,anyakuruvilla@gmail.com,23-12-25
Onkar Shanker,Hyderabad,Apartment,1,2354,Unfurnished,69105,8,9947677127,onkarshanker@gmail.com,05-11-25
Kimaya Deol,Kolkata,Villa,3,2470,Furnished,48720,0,9106846475,kimayadeol@gmail.com,18-11-25
Ivan Luthra,Jaipur,Apartment,5,1684,Furnished,49065,6,9724133047,ivanluthra@gmail.com,09-12-25
Rohan Lala,Jaipur,Villa,2,483,Semi-Furnished,7925,3,9964369488,rohanlala@gmail.com,31-10-25
Indrajit Saxena,Bangalore,Apartment,3,933,Semi-Furnished,32088,20,9724362722,indrajitsaxena@gmail.com,11-12-25
Anahi Seth,Mumbai,Villa,4,2331,Furnished,156188,8,9063094245,anahiseth@gmail.com,24-10-25
Nitya Shere,Hyderabad,Independent,5,645,Furnished,28782,20,9882524531,nityashere@gmail.com,25-12-25
Myra Madan,Hyderabad,Villa,3,1588,Unfurnished,37715,16,9433385125,myramadan@gmail.com,04-12-25
Rhea Garg,Delhi,Independent,3,851,Unfurnished,39433,19,9316849694,rheagarg@gmail.com,30-12-25
Manikya Dora,Bangalore,Apartment,3,1067,Furnished,62485,12,9449238927,manikyadora@gmail.com,03-11-25
Aradhya Korpal,Nagpur,Studio,1,1929,Furnished,26991,2,9679804142,aradhyakorpal@gmail.com,28-12-25
Tarini Chhabra,Nagpur,Independent,1,632,Furnished,18425,0,9509020695,tarinichhabra@gmail.com,24-12-25
Bhavin Acharya,Pune,Apartment,5,748,Unfurnished,22385,16,9078884540,bhavinacharya@gmail.com,18-11-25
Kaira Deo,Hyderabad,Apartment,5,1400,Unfurnished,26194,12,9477068000,kairadeo@gmail.com,02-12-25
Fateh Thaker,Mumbai,Studio,5,554,Unfurnished,14348,12,9711705318,fatehthaker@gmail.com,27-10-25
Baiju Issac,Jaipur,Apartment,1,2101,Furnished,80375,19,9523969320,baijuissac@gmail.com,29-12-25
Rhea Sane,Jaipur,Apartment,2,1608,Furnished,32717,3,9236650124,rheasane@gmail.com,25-12-25
Gatik D’Alia,Pune,Villa,1,1841,Semi-Furnished,55352,4,9223579023,gatikd’alia@gmail.com,20-12-25
Neelofar Kibe,Mumbai,Apartment,1,2050,Furnished,135761,20,9429651392,neelofarkibe@gmail.com,27-10-25
Purab Sunder,Jaipur,Studio,4,1846,Furnished,46878,11,9440460268,purabsunder@gmail.com,22-10-25
Nirvi Tandon,Chennai,Independent,3,1293,Semi-Furnished,52165,20,9123416822,nirvitandon@gmail.com,24-10-25
Oorja Savant,Kolkata,Apartment,3,963,Furnished,26639,5,9983239388,oorjasavant@gmail.com,16-12-25
Onkar Mangal,Bangalore,Independent,5,1309,Unfurnished,77708,20,9015169855,onkarmangal@gmail.com,24-12-25
Shalv Rama,Bangalore,Apartment,2,2405,Unfurnished,91268,7,9368288595,shalvrama@gmail.com,08-10-25
Alisha Bhavsar,Chennai,Villa,3,711,Unfurnished,26687,15,9815205044,alishabhavsar@gmail.com,16-11-25
Baiju Sridhar,Chennai,Independent,1,2471,Furnished,84487,12,9492728116,baijusridhar@gmail.com,28-10-25
Rati Bhakta,Mumbai,Studio,3,1458,Unfurnished,86058,13,9758857433,ratibhakta@gmail.com,04-12-25
Saanvi Bajaj,Nagpur,Independent,3,2045,Furnished,48302,5,9903531987,saanvibajaj@gmail.com,29-12-25
Siya Gupta,Delhi,Independent,5,1556,Furnished,55724,7,9899778993,siyagupta@gmail.com,20-10-25
Tarini Chaudhari,Jaipur,Apartment,5,1498,Semi-Furnished,23912,4,9323789144,tarinichaudhari@gmail.com,01-12-25
Vihaan Iyer,Bangalore,Apartment,1,1860,Unfurnished,99585,18,9797871785,vihaaniyer@gmail.com,15-11-25
Zoya Srivastava,Hyderabad,Apartment,5,1972,Furnished,62591,0,9671954320,zoyasrivastava@gmail.com,02-12-25
Anya Dhar,Mumbai,Apartment,5,518,Unfurnished,36213,5,9956200866,anyadhar@gmail.com,25-12-25
Dharmajan Cherian,Indore,Villa,4,448,Semi-Furnished,13436,20,9362884958,dharmajancherian@gmail.com,02-11-25
Nitara Sahni,Kolkata,Apartment,2,2053,Semi-Furnished,80670,16,9682082751,nitarasahni@gmail.com,14-11-25
Ryan Apte,Indore,Villa,4,1815,Furnished,57710,5,9557396005,ryanapte@gmail.com,07-12-25
Sara D’Alia,Chennai,Studio,4,1635,Unfurnished,74002,13,9066374442,sarad’alia@gmail.com,16-12-25
Pari Bhattacharyya,Nagpur,Apartment,5,2262,Furnished,80052,1,9855465654,paribhattacharyya@gmail.com,07-12-25
Vihaan Singhal,Hyderabad,Apartment,1,944,Unfurnished,25217,4,9173031108,vihaansinghal@gmail.com,02-11-25
Pranay Goyal,Indore,Apartment,2,600,Furnished,14368,11,9803753351,pranaygoyal@gmail.com,12-11-25
Aaryahi Vohra,Indore,Independent,4,1704,Unfurnished,28038,11,9718652993,aaryahivohra@gmail.com,18-12-25
Jiya Bala,Bangalore,Apartment,5,468,Furnished,15445,3,9039250951,jiyabala@gmail.com,23-11-25
Krish Bora,Pune,Independent,4,1340,Furnished,30668,2,9523024294,krishbora@gmail.com,07-12-25
Manjari Mand,Chennai,Apartment,4,2286,Unfurnished,74381,4,9589638759,manjarimand@gmail.com,20-11-25
Anya Dube,Indore,Apartment,3,483,Unfurnished,10047,2,9553919682,anyadube@gmail.com,05-11-25
Jiya Savant,Bangalore,Apartment,5,1696,Unfurnished,112142,12,9326235098,jiyasavant@gmail.com,15-11-25
Hridaan Kadakia,Kolkata,Independent,2,1245,Semi-Furnished,47976,6,9586552488,hridaankadakia@gmail.com,12-12-25
Ira Dara,Mumbai,Independent,3,1170,Unfurnished,61735,5,9571213975,iradara@gmail.com,09-11-25
Nishith Krishnamurthy,Mumbai,Studio,1,679,Semi-Furnished,39409,5,9827727140,nishithkrishnamurthy@gmail.com,19-12-25
Reyansh Sachdev,Indore,Studio,5,2281,Furnished,40375,2,9749746448,reyanshsachdev@gmail.com,26-11-25
Mehul Kata,Chennai,Independent,3,739,Unfurnished,22666,3,9855982350,mehulkata@gmail.com,05-10-25
Vardaniya Divan,Nagpur,Independent,5,428,Semi-Furnished,11022,1,9753592956,vardaniyadivan@gmail.com,17-12-25
Dhruv Chopra,Jaipur,Independent,2,1279,Unfurnished,33564,12,9757893164,dhruvchopra@gmail.com,18-10-25
Kanav Kari,Bangalore,Studio,4,952,Unfurnished,52356,14,9227649936,kanavkari@gmail.com,21-10-25
Prerak Kala,Bangalore,Villa,3,2202,Furnished,68222,20,9281305323,prerakkala@gmail.com,20-11-25
Myra Kunda,Mumbai,Studio,4,1323,Furnished,57127,10,9088768959,myrakunda@gmail.com,21-10-25
Heer Kamdar,Nagpur,Villa,2,2428,Unfurnished,61143,17,9792773960,heerkamdar@gmail.com,05-10-25
Trisha Khanna,Chennai,Apartment,4,1598,Furnished,39843,9,9555917684,trishakhanna@gmail.com,24-11-25
Jivika Chana,Indore,Villa,2,947,Semi-Furnished,18788,15,9425731981,jivikachana@gmail.com,30-10-25
Navya Kota,Indore,Independent,2,2276,Furnished,43127,16,9379802642,navyakota@gmail.com,15-11-25
Ela Manne,Chennai,Studio,2,1353,Furnished,56461,5,9735421315,elamanne@gmail.com,08-10-25
Adah Kara,Delhi,Studio,1,1446,Furnished,63286,20,9081762590,adahkara@gmail.com,21-12-25
Saanvi Wason,Indore,Independent,2,1857,Unfurnished,51224,2,9905286104,saanviwason@gmail.com,10-11-25
Vaibhav Jhaveri,Mumbai,Studio,2,669,Furnished,47281,18,9851839298,vaibhavjhaveri@gmail.com,05-10-25
Pranay Dewan,Mumbai,Villa,2,573,Furnished,15746,15,9051481488,pranaydewan@gmail.com,06-10-25
